technician_id,name,phone,category,cluster,latitude,longitude,years_experience,base_hourly_rate
1,Raymond Coleman,823-259-2751x774,Carpentry,Maadi,29.944902,31.243819,2,104
2,Caroline Wright,+1-912-977-2520,Electrical,Maadi,29.945517,31.274564,11,397
3,Thomas Crosby,001-618-525-3148x8419,Plumbing,Maadi,29.933122,31.258254,1,103
4,Kimberly Brown,4147439300,Electrical,Nasr City,30.086986,31.306655,6,215
5,Frances Munoz,001-443-500-7630,Plumbing,Nasr City,30.053441,31.35229,6,262
6,Allison Jones,001-502-757-5868x91453,Carpentry,Nasr City,30.090404,31.33191,3,168
7,Caitlyn Davis,(610)362-6148x60188,Carpentry,Maadi,29.954328,31.244609,16,466
8,Sarah Morrow,+1-828-578-0186x855,Plumbing,Maadi,29.944592,31.26825,4,256
9,Leah Cook,781.245.5381x53074,Electrical,Nasr City,30.060436,31.35662,6,235
10,Alec Davis,694-794-4333x15409,Plumbing,6th of October,29.948246,30.920575,1,149
11,Tammy Garrison,+1-983-800-2984,Electrical,Maadi,29.980237,31.262673,2,105
12,Benjamin Shaffer,771-213-3153,Plumbing,Maadi,29.980808,31.272369,11,373
13,Jennifer Bailey,(276)951-8427x764,Electrical,6th of October,29.974012,30.916404,6,259
14,Phyllis Barker,805-285-2239x7293,Carpentry,6th of October,29.951346,30.968242,4,272
15,James Carson,819.428.7497x68178,Electrical,6th of October,29.969138,30.936206,6,265
16,Christine Sanders,786.350.1194x08520,Carpentry,Nasr City,30.036336,31.32905,7,269
17,Thomas Mosley,+1-778-594-7005x22788,Plumbing,6th of October,29.944517,30.958677,1,124
18,Loretta Gardner,+1-421-950-0342,Carpentry,6th of October,29.951282,30.931313,7,266
19,Dana Yu,+1-631-327-8448x78713,Carpentry,6th of October,29.953693,30.96417,12,383
20,Michelle Ramirez,+1-662-202-8634,Carpentry,Nasr City,30.046928,31.325374,12,333
21,Heather Sweeney,6327712487,Electrical,Nasr City,30.03423,31.302212,22,513
22,Mariah Jones,(686)998-2459,Plumbing,6th of October,29.973722,30.941369,5,264
23,Eric Patterson,001-374-483-7763x29360,Carpentry,Nasr City,30.081926,31.321125,23,569
24,Mark Stephens,001-540-890-1090,Plumbing,Maadi,29.941426,31.2604,11,359
25,Allison Rivera,+1-203-287-4124,Carpentry,Maadi,29.963856,31.267075,4,185
26,Eric Horton,001-519-639-6698x563,Plumbing,Nasr City,30.087505,31.330282,4,238
27,Sandra Bailey,937-220-1496,Carpentry,6th of October,29.988996,30.930506,24,449
28,Scott King,001-585-950-8198x19561,Plumbing,Nasr City,30.049214,31.357311,1,118
29,Alec Hahn,6432363283,Electrical,Maadi,29.940253,31.282639,2,128
30,Jeremy Rose,687-264-2370x0206,Plumbing,6th of October,29.967819,30.948418,15,292
31,Penny Hill,(489)687-0645,Carpentry,Maadi,29.977416,31.259312,7,197
32,Janice Sosa,868.440.7703x6485,Electrical,6th of October,30.000447,30.951575,3,171
33,Joseph Daugherty,001-430-648-6520,Plumbing,Nasr City,30.085516,31.323949,2,178
34,Steven Bernard,(338)894-8550x09089,Carpentry,Nasr City,30.066185,31.329944,15,320
35,Timothy Mcintyre,(959)907-8676,Plumbing,Nasr City,30.037364,31.34219,11,443
36,Karl Smith,+1-251-858-3784x2086,Carpentry,6th of October,29.990544,30.943948,5,215
37,Christina Dunn,3683896478,Electrical,Maadi,29.95747,31.278298,6,210
38,Alyssa Butler,(619)912-4724x2199,Plumbing,Nasr City,30.062253,31.347995,2,169
39,Amy Harris,001-393-373-8524x8335,Plumbing,Maadi,29.971921,31.278559,1,129
40,Denise Simmons,+1-948-464-2274,Electrical,6th of October,29.949918,30.932376,10,334
41,Leah Lawrence,(410)890-4075x7483,Electrical,Nasr City,30.071669,31.335556,13,418
42,Teresa Ruiz,368-920-6872x857,Electrical,Maadi,29.957477,31.287746,1,153
