user_id,name,phone,cluster,latitude,longitude,join_date
1,Antonio Smith,+1-524-833-4470,6th of October,29.966382,30.959529,2025-12-08
2,Brenda Collins,001-942-476-4417x31961,Maadi,29.945441,31.24524,2025-11-11
3,Timothy Hanson DVM,664.919.0467x68872,Maadi,29.963245,31.267323,2025-12-04
4,Kelly Miller,(612)259-2196x134,6th of October,29.984698,30.929994,2025-10-20
5,Kimberly Duran,590.632.8339,Nasr City,30.05477,31.32929,2025-04-11
6,Dr. Amy Sutton,939-371-6639x0102,Maadi,29.963674,31.24458,2026-02-03
7,Shane Watkins,+1-739-583-6344x542,Maadi,29.957443,31.270407,2025-11-26
8,Elizabeth Richmond,955.776.4101x17455,Maadi,29.962897,31.240858,2025-06-03
9,Jennifer Peters,(710)452-4655x20151,6th of October,29.954002,30.959455,2026-03-11
10,Thomas Green,996.940.8502,Maadi,29.951385,31.242907,2025-12-23
11,Heather Miller,001-998-779-8369x70971,6th of October,29.956282,30.941307,2025-12-15
12,Stacy Weaver,331-919-4984,6th of October,29.961751,30.948001,2025-12-27
13,Matthew Robinson,001-701-794-6101x255,6th of October,29.973268,30.928894,2025-08-23
14,Joseph Rogers,784.681.8796x11489,Maadi,29.97678,31.274793,2026-02-03
15,Nicole Hodges,755.229.5509x789,6th of October,29.95494,30.929339,2025-06-10
16,Teresa Cameron,529.312.4730,Nasr City,30.058147,31.319154,2025-10-12
17,Kathleen Bell,001-244-905-3978,Maadi,29.950437,31.260708,2025-08-11
18,Patrick Silva,+1-528-507-6002,Maadi,29.942182,31.278475,2025-07-01
19,Brandy Rush,236.883.1045,Maadi,29.939421,31.271618,2025-08-08
20,Nicole Snyder,+1-339-200-8903x3064,Maadi,29.970051,31.241962,2025-08-31
21,Mary Lopez,641-994-2438x2747,Maadi,29.973724,31.263932,2025-12-05
22,Kim Bruce,001-820-630-2063x821,6th of October,29.963839,30.934507,2025-10-18
23,Jacob Rivera,001-402-307-2185x73325,6th of October,29.986889,30.940389,2025-04-06
24,Andrew Mitchell,001-684-507-3659x5502,Maadi,29.969631,31.261451,2025-03-26
25,Samantha Jackson,+1-325-720-8379x3026,6th of October,29.972309,30.938602,2025-12-19
26,Jessica Patterson,711-596-6717x95853,Maadi,29.940457,31.264456,2025-07-23
27,Rachel Gilbert,478-978-5271x049,6th of October,29.987703,30.931472,2025-08-31
28,Karen Fitzgerald,228.476.4709,6th of October,29.960552,30.924579,2026-02-01
29,Yvette Bishop,+1-244-337-1820x7505,6th of October,29.988588,30.953825,2025-07-21
30,Stephanie Wolfe,(504)793-1608x984,6th of October,29.983547,30.928963,2026-03-20
31,Natalie Walker,867-631-1896,Nasr City,30.074898,31.344144,2025-07-09
32,Stanley Phillips,+1-689-862-5297,Maadi,29.948317,31.256084,2025-10-13
33,Teresa Gordon,804.387.9890x3542,Nasr City,30.042878,31.32873,2025-05-30
34,Michael Kennedy,001-529-602-3471x0265,6th of October,29.956195,30.935005,2025-07-11
35,Alexander Murray,462.760.1705x19057,Nasr City,30.063352,31.336421,2025-10-01
36,Michael Alvarez,001-391-725-7407x84931,Maadi,29.977698,31.249071,2025-08-10
37,Rachel Mueller,206-826-0613x9007,Maadi,29.950594,31.240475,2026-01-30
38,Paul Sosa,677-772-6885,6th of October,29.953459,30.932646,2025-11-04
39,Amy Lewis,001-811-569-1863x504,Nasr City,30.048396,31.327878,2025-09-30
40,Melissa Peterson,831-241-5941x0081,Nasr City,30.069485,31.338765,2025-06-08
41,Michael Miller,001-334-583-3636,Nasr City,30.057311,31.333592,2026-02-03
42,David Chan,001-581-400-9113x637,Maadi,29.942812,31.272412,2025-05-09
43,Jeffrey Scott,263.563.0390,Maadi,29.940831,31.262636,2026-01-23
44,Molly Romero,342-819-0880,Nasr City,30.063084,31.31736,2025-10-15
45,Veronica Curtis,+1-892-490-4353,Maadi,29.966838,31.254469,2025-06-16
46,Kurt Shields,+1-838-360-4158x332,Maadi,29.952843,31.243539,2025-12-07
47,Heather Howell,(809)380-8710,Nasr City,30.052918,31.334699,2025-12-13
48,Timothy Rogers,(681)445-3021x1634,Maadi,29.960386,31.248674,2025-11-21
49,Tami Bates,001-977-661-4556x67867,Nasr City,30.078617,31.333624,2025-06-26
50,Kimberly Martin,(746)202-2962,Nasr City,30.071638,31.344184,2026-02-23
51,Anthony Carlson,4807039047,6th of October,29.977081,30.924866,2025-12-10
52,Christopher Lee,753-275-0273,Nasr City,30.066857,31.308668,2025-12-21
53,Richard Allen,(353)454-7687x0350,Maadi,29.939402,31.245432,2025-11-16
54,Rebecca Welch,8514799704,6th of October,29.977478,30.930471,2025-04-28
55,Stephanie Baker,624.290.1883x581,Nasr City,30.055616,31.33816,2025-06-10
56,Steven Smith,+1-322-858-2680,6th of October,29.977705,30.944232,2025-10-04
57,Kevin Lopez,934-771-2816x9864,Maadi,29.949808,31.24876,2026-01-11
58,Pamela Reid,690.370.0835,Nasr City,30.078282,31.333546,2025-12-05
59,Amanda Foster,272-457-2350,Maadi,29.962276,31.258701,2025-12-16
60,Natalie Espinoza,525-838-7910,6th of October,29.962631,30.922473,2025-08-01
61,Jason Cantrell,435.649.0391x7644,Nasr City,30.080218,31.346457,2026-03-13
62,Melissa Smith,551-849-8208x9259,6th of October,29.952018,30.958633,2025-07-21
63,Rachel Anderson,292.492.5803x675,6th of October,29.989945,30.95562,2025-11-12
64,Brittany Rogers,876.235.8324x4958,Nasr City,30.076645,31.320977,2026-03-08
65,Tamara Kelly,520.659.7311x81208,6th of October,29.988846,30.949341,2025-10-14
