technician_id,name,phone,category,cluster,latitude,longitude,years_experience,base_hourly_rate
1,Marisa Braun,413.393.9341x7104,electrical,Nasr City,30.070784,31.301368,3,110
2,Curtis Rodriguez,001-340-998-2964x51570,plumbing,Dokki,30.045428,31.220095,6,191
3,Matthew Huang,578.983.9596,plumbing,6th of October,29.968774,30.933643,5,283
4,William Carroll,923.803.6493x310,plumbing,Nasr City,30.077671,31.30256,4,185
5,Dustin Reid,587.518.4427x2157,painter,Heliopolis,30.113204,31.352014,4,238
6,Vanessa Garcia,261.940.3906x1713,air condition,Dokki,30.04482,31.179508,18,583
7,Tonya Ramirez,+1-675-697-7904x396,dish,Heliopolis,30.093454,31.364322,1,118
8,Elizabeth Arnold,7166826561,home cleaning,Maadi,29.983347,31.232987,2,128
9,Brad Payne,2809850546,electrical,Dokki,30.009902,31.204222,7,186
10,Samuel Freeman,985.482.3144x7309,plumbing,Nasr City,30.067232,31.300924,4,238
11,Brandon Lynn,262-834-6881,painter,Heliopolis,30.07729,31.35565,13,393
12,John Short,(931)206-2015x7084,painter,Dokki,30.05075,31.204696,2,120
13,Amanda Lewis,001-719-710-4785x309,home cleaning,Heliopolis,30.075079,31.359239,12,343
14,Margaret Allen,227-359-8736x09818,fridge/freezer,Nasr City,30.081945,31.349754,6,236
15,Catherine Lynch,606-316-3053x5193,carpentry,6th of October,29.960532,30.946432,5,214
16,Samuel Wilson,001-249-849-5866x7946,carpentry,6th of October,29.983735,30.952804,3,110
17,Denise Simmons,(302)310-5977,fridge/freezer,Nasr City,30.058432,31.306856,5,229
18,Caitlyn Ross,691.543.3698x7009,painter,Nasr City,30.041868,31.299827,4,233
19,Andrew Ramirez,613.358.4951x2645,carpentry,6th of October,29.961836,30.915803,7,233
20,Cassandra Pacheco,660.314.8268,carpentry,Nasr City,30.073227,31.334647,2,149
21,John Bennett,205.759.6480x5965,painter,Maadi,29.988482,31.25624,3,148
22,Brent Whitehead,(856)812-4123,home cleaning,Maadi,29.958335,31.230652,20,476
23,Jerry Pierce,(828)597-3890x43430,plumbing,Dokki,30.032252,31.18124,5,242
24,Lisa Watson,+1-866-602-8706x290,dish,6th of October,29.951001,30.912901,7,242
25,Margaret Perez,001-564-667-3844x213,plumbing,Heliopolis,30.074055,31.365905,20,571
26,Jessica Newton,001-433-409-5225x343,air condition,Heliopolis,30.075538,31.365204,10,439
27,Andrew Klein,452-611-3079,fan,Heliopolis,30.115741,31.329204,4,190
28,Karen Carlson,001-416-797-1845,air condition,Nasr City,30.055731,31.318723,2,123
29,Jason Moore,+1-931-252-7097x584,dish,6th of October,29.974623,30.944002,14,363
30,Thomas Stewart,+1-547-638-5236x0466,electrical,6th of October,29.967826,30.92964,2,197
31,Christopher Nunez,(381)688-8426,electrical,6th of October,29.944859,30.932047,21,464
32,Jeffrey Martinez,(504)776-2751,air condition,Maadi,29.962663,31.249837,3,169
33,Jacqueline Garcia,+1-346-621-0921x6380,home cleaning,6th of October,29.968043,30.949074,5,263
34,Allison Phillips,833-352-2669x9542,air condition,Maadi,29.988831,31.281819,4,211
35,Christina Knight,(905)446-5996,carpentry,Maadi,29.96644,31.241079,3,119
36,Jonathan Romero,001-396-269-4336,electrical,Nasr City,30.061133,31.330881,22,571
37,Angela Esparza DVM,440-751-3910,home cleaning,Heliopolis,30.111267,31.355229,12,374
38,Danielle Thomas,+1-422-630-6118x96452,plumbing,Nasr City,30.040439,31.345731,12,307
39,Kathleen Mcintyre,4392976486,fan,6th of October,29.957946,30.964125,3,186
40,Darrell Jones DDS,663.831.1665,home cleaning,Heliopolis,30.084461,31.370759,11,299
41,Andrew Meza,+1-704-724-7220,electrical,Maadi,29.964524,31.25152,3,198
42,David Everett,401-867-7436,home cleaning,Dokki,30.054908,31.202092,4,281
43,Diana Villanueva,+1-766-429-0786x3731,fan,Maadi,29.963837,31.280935,6,248
44,William Mitchell,(271)423-3097x294,air condition,6th of October,29.991051,30.957372,16,529
45,Anna Chen,526.764.2685,oven/cooker,Heliopolis,30.068728,31.318456,7,193
46,Wayne Jenkins,+1-218-379-8396x83476,plumbing,6th of October,29.992218,30.965085,15,319
47,Steven Conley,001-239-532-7051x69255,air condition,Dokki,30.036099,31.209526,25,469
48,Shane Guerrero,+1-358-590-3146x83154,painter,Heliopolis,30.057847,31.340511,14,431
49,Kirsten Hill,001-956-422-5635,electrical,Nasr City,30.074152,31.306366,4,215
50,Jason Robinson,5222509977,electrical,Nasr City,30.080866,31.315026,22,545
51,Jeffrey Rodriguez,(587)653-4100,painter,6th of October,29.941932,30.971369,8,406
52,Richard Hernandez,511-296-0539x01345,dish,Heliopolis,30.074377,31.312759,11,370
53,Ronald Brown,001-580-285-3308,dish,6th of October,29.985829,30.920071,12,422
54,Robert Duncan,526-875-4954x235,oven/cooker,Maadi,29.968712,31.274967,5,272
55,Samuel Torres,452.667.1414x2578,plumbing,Heliopolis,30.062016,31.341158,5,268
56,Jeff Mccoy,001-311-204-5074x397,carpentry,Heliopolis,30.081126,31.315861,2,102
57,Scott Miller,+1-499-685-5006x10084,plumbing,6th of October,29.989894,30.968361,18,503
58,Jennifer Sparks,914-507-6480x09760,plumbing,Dokki,30.040555,31.196874,6,240
59,Samuel Parrish,992-296-7111x4829,plumbing,Dokki,30.056871,31.221325,2,154
