user_id,name,phone,cluster,latitude,longitude,join_date
1,Rebekah Nolan,(265)857-8723x3044,Maadi,29.954182,31.277029,2026-01-14
2,Amanda Bowman,8145657886,Maadi,29.957033,31.242999,2025-06-02
3,John Sims,+1-985-398-4478x664,6th of October,29.957115,30.947536,2025-06-20
4,Kristen Walker,2377805086,Nasr City,30.042631,31.347988,2025-05-25
5,Madison Franklin,001-995-886-9308x98452,Nasr City,30.042883,31.309222,2025-06-23
6,Brian Davenport,+1-735-316-4667x7510,Nasr City,30.057898,31.347629,2025-05-08
7,David Williams,(202)662-6802x8824,Maadi,29.966412,31.25702,2026-03-02
8,Brian Martinez,001-578-843-1928x5266,Dokki,30.034617,31.189539,2025-10-19
9,John Page,(312)276-6421x0448,Maadi,29.940576,31.275373,2025-07-10
10,Robin Matthews,+1-593-585-8083x19734,Dokki,30.031668,31.209703,2025-09-18
11,Janet Patterson,403.928.8120,Heliopolis,30.097705,31.35948,2025-12-16
12,Paul Aguilar,433-664-0661x021,Maadi,29.960033,31.277447,2025-07-02
13,William Fleming,001-728-598-7997x814,Maadi,29.96267,31.27761,2026-03-24
14,Michael Hart,(397)505-9873x141,Maadi,29.939825,31.255936,2025-08-03
15,Tammy Wiggins,223-700-3479x59602,Nasr City,30.043163,31.316254,2025-11-30
16,Melinda Suarez,821-295-6693x7088,Nasr City,30.066838,31.345352,2025-10-23
17,Terry Walters,839.829.6305x9584,Dokki,30.044132,31.202136,2025-06-30
18,Danny Hart,(667)746-2757,Dokki,30.045837,31.212552,2025-10-31
19,Deanna Bennett,617-511-3247x484,Maadi,29.954517,31.277868,2025-06-08
20,Kevin Mooney,001-689-785-1123x833,Dokki,30.050039,31.208652,2026-03-08
21,Mr. John Cohen,001-252-634-1100x2633,Nasr City,30.043857,31.333756,2025-07-06
22,Jennifer Rhodes,916-485-8068x0427,Dokki,30.029172,31.205315,2026-03-09
23,James Drake,647.633.2890x3306,Heliopolis,30.07829,31.328349,2025-05-09
24,Kathleen George,(262)417-2487,Nasr City,30.077458,31.340447,2026-03-27
25,Leslie Mullins,452-379-9958,Heliopolis,30.102544,31.33462,2025-08-16
26,Hannah Andrews,257-701-7994x7541,Dokki,30.051921,31.223329,2025-07-11
27,Tiffany Deleon,(201)856-9490x82910,6th of October,29.970793,30.949197,2026-04-02
28,Jeffrey Ramirez,453-825-6632,Maadi,29.947951,31.261324,2026-03-27
29,Sarah Long,338-371-4059x52632,Nasr City,30.052475,31.336152,2026-02-21
30,Kristi Barrera,(700)688-1366x2121,Heliopolis,30.10661,31.332571,2026-01-14
31,Sarah Pearson,+1-867-204-0957x1403,6th of October,29.962546,30.957831,2025-07-01
32,John Torres,382.650.2712,6th of October,29.970978,30.960926,2025-07-29
33,Katrina Anderson,707-415-2666x9570,Nasr City,30.073065,31.317806,2026-03-12
34,Cameron Schneider,963-608-8680,Nasr City,30.067892,31.333641,2025-10-29
35,Jamie Cardenas,001-668-841-5290x270,6th of October,29.964231,30.928961,2025-10-09
36,Jasmine Terry,+1-711-202-2211x68140,Maadi,29.939864,31.259484,2025-10-30
37,Todd Kirk,(529)536-2199x207,Maadi,29.976821,31.254903,2026-01-03
38,Patrick Wright,(714)413-6430,Heliopolis,30.093728,31.351309,2025-04-14
39,Kaitlin Jackson,455-402-4966,Maadi,29.948342,31.245998,2025-05-10
40,Edward Anderson,001-680-321-9949x23823,6th of October,29.961074,30.925224,2026-03-09
41,Chad Osborne,(366)510-9178,6th of October,29.964961,30.935468,2025-06-28
